time,carbon_intensity
2020-04-30T00:00:00+00:00,446.33489208000003
2020-04-30T00:05:00+00:00,449.96363104
2020-04-30T00:10:00+00:00,446.78848445
2020-04-30T00:15:00+00:00,447.69566919000005
2020-04-30T00:20:00+00:00,445.88129971
2020-04-30T00:25:00+00:00,444.06693023
2020-04-30T00:30:00+00:00,444.52052260000005
2020-04-30T00:35:00+00:00,444.97411497
2020-04-30T00:40:00+00:00,446.78848445
2020-04-30T00:45:00+00:00,450.87081578000004
2020-04-30T00:50:00+00:00,452.68518526
2020-04-30T00:55:00+00:00,456.76751659
2020-04-30T01:00:00+00:00,454.95314711000003
2020-04-30T01:05:00+00:00,455.86033185
2020-04-30T01:10:00+00:00,457.22110896000004
2020-04-30T01:15:00+00:00,455.40673948
2020-04-30T01:20:00+00:00,455.40673948
2020-04-30T01:25:00+00:00,457.22110896000004
2020-04-30T01:30:00+00:00,457.67470133
2020-04-30T01:35:00+00:00,460.39625555000003
2020-04-30T01:40:00+00:00,460.84984792
2020-04-30T01:45:00+00:00,460.84984792
2020-04-30T01:50:00+00:00,460.84984792
2020-04-30T01:55:00+00:00,460.84984792
2020-04-30T02:00:00+00:00,457.22110896000004
2020-04-30T02:05:00+00:00,462.66421740000004
2020-04-30T02:10:00+00:00,461.30344029
2020-04-30T02:15:00+00:00,459.48907081000004
2020-04-30T02:20:00+00:00,455.86033185
2020-04-30T02:25:00+00:00,455.40673948
2020-04-30T02:30:00+00:00,454.95314711000003
2020-04-30T02:35:00+00:00,452.68518526
2020-04-30T02:40:00+00:00,453.13877763000005
2020-04-30T02:45:00+00:00,450.87081578000004
2020-04-30T02:50:00+00:00,451.77800052000003
2020-04-30T02:55:00+00:00,451.32440815
2020-04-30T03:00:00+00:00,450.41722341
2020-04-30T03:05:00+00:00,447.24207682
2020-04-30T03:10:00+00:00,450.87081578000004
2020-04-30T03:15:00+00:00,449.96363104
2020-04-30T03:20:00+00:00,449.96363104
2020-04-30T03:25:00+00:00,450.87081578000004
2020-04-30T03:30:00+00:00,444.52052260000005
2020-04-30T03:35:00+00:00,444.97411497
2020-04-30T03:40:00+00:00,442.25256075000004
2020-04-30T03:45:00+00:00,442.25256075000004
2020-04-30T03:50:00+00:00,443.61333786
2020-04-30T03:55:00+00:00,443.61333786
2020-04-30T04:00:00+00:00,443.61333786
2020-04-30T04:05:00+00:00,438.62382179
2020-04-30T04:10:00+00:00,439.98459890000004
2020-04-30T04:15:00+00:00,439.98459890000004
2020-04-30T04:20:00+00:00,439.53100653
2020-04-30T04:25:00+00:00,439.53100653
2020-04-30T04:30:00+00:00,437.26304468
2020-04-30T04:35:00+00:00,438.17022942
2020-04-30T04:40:00+00:00,437.26304468
2020-04-30T04:45:00+00:00,438.62382179
2020-04-30T04:50:00+00:00,434.54149046000003
2020-04-30T04:55:00+00:00,434.08789809
2020-04-30T05:00:00+00:00,435.4486752
2020-04-30T05:05:00+00:00,431.81993624
2020-04-30T05:10:00+00:00,437.71663705000003
2020-04-30T05:15:00+00:00,440.89178364
2020-04-30T05:20:00+00:00,439.98459890000004
2020-04-30T05:25:00+00:00,439.98459890000004
2020-04-30T05:30:00+00:00,437.71663705000003
2020-04-30T05:35:00+00:00,437.71663705000003
2020-04-30T05:40:00+00:00,436.80945231000004
2020-04-30T05:45:00+00:00,436.80945231000004
2020-04-30T05:50:00+00:00,439.07741416000005
2020-04-30T05:55:00+00:00,439.98459890000004
2020-04-30T06:00:00+00:00,443.15974549000003
2020-04-30T06:05:00+00:00,447.24207682
2020-04-30T06:10:00+00:00,449.96363104
2020-04-30T06:15:00+00:00,450.87081578000004
2020-04-30T06:20:00+00:00,448.60285393000004
2020-04-30T06:25:00+00:00,447.24207682
2020-04-30T06:30:00+00:00,446.78848445
2020-04-30T06:35:00+00:00,451.77800052000003
2020-04-30T06:40:00+00:00,453.59237
2020-04-30T06:45:00+00:00,453.13877763000005
2020-04-30T06:50:00+00:00,454.49955474
2020-04-30T06:55:00+00:00,456.76751659
2020-04-30T07:00:00+00:00,450.87081578000004
